report_component_id,component_type,section_id,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
RPT-T05.row.5,table_row,SEC-SETUP,RES-P6-STANDARD_CBM-FOLD0-TRAIN-TEST,ART-P6-FOLD0-AUDIT,$,19448b57bc663a7c37f06c6368ba33ad4375958f946791318d83c03b0e72045c
RPT-T05.row.6,table_row,SEC-SETUP,RES-P6-STANDARD_CBM-FOLD1-TRAIN-TEST,ART-P6-FOLD1-AUDIT,$,c0eea000eb244f6ce2f1a19d52e2b096e97dc174a0e866ac8b9b82eb98db9757
RPT-T05.row.7,table_row,SEC-SETUP,RES-P6-STANDARD_CBM-FOLD2-TRAIN-TEST,ART-P6-FOLD2-AUDIT,$,86548c45fb38f106caee903327a41733835e9495d065b8b32d33c032ae714d96
RPT-T05.row.8,table_row,SEC-SETUP,RES-P6-STANDARD_CBM-FOLD3-TRAIN-TEST,ART-P6-FOLD3-AUDIT,$,194c99f34d3331d67f601cf3f6119820759d7f62f08a716140cda4c3627d0552
RPT-T05.row.9,table_row,SEC-SETUP,RES-P6-STANDARD_CBM-FOLD4-TRAIN-TEST,ART-P6-FOLD4-AUDIT,$,2aefa973f5ae7b6093cace42ffad598e25f120150ce428becf7c19b81ea32f80
RPT-T05.row.10,table_row,SEC-SETUP,RES-P7-MIXED_CEM-FOLD0-TRAIN-TEST,ART-P7-FOLD0-AUDIT,$,6236dbf9c51b7f59881d6018a916bd814442ace555ce7921a08a7a42e468c3e2
RPT-T05.row.11,table_row,SEC-SETUP,RES-P7-MIXED_CEM-FOLD1-TRAIN-TEST,ART-P7-FOLD1-AUDIT,$,09322f5dcea42e977a3bd87a55f652ea4dd9109d2e2fe0490a43bd8a019eefa9
RPT-T05.row.12,table_row,SEC-SETUP,RES-P7-MIXED_CEM-FOLD2-TRAIN-TEST,ART-P7-FOLD2-AUDIT,$,94116792ee15ab970323d41ff0079a7568dcff6ea0cb270abf91df8afcaf621c
RPT-T05.row.13,table_row,SEC-SETUP,RES-P7-MIXED_CEM-FOLD3-TRAIN-TEST,ART-P7-FOLD3-AUDIT,$,9aa1b7800506d56abbbdc0bd4c1324df65be54326dee8563794a22ba3ac426e6
RPT-T05.row.14,table_row,SEC-SETUP,RES-P7-MIXED_CEM-FOLD4-TRAIN-TEST,ART-P7-FOLD4-AUDIT,$,9646ce3b7f02ee89cbfa3a2ee68f70742dde679f56cace9eb870be827b0cfd32
RPT-T05.row.15,table_row,SEC-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD0-TRAIN-TEST,ART-P8-FOLD0-AUDIT,$,d0e4fcccbd577fe4892df2cd87899e9f7c017846d047052e4258c9b8ef865412
RPT-T05.row.16,table_row,SEC-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD1-TRAIN-TEST,ART-P8-FOLD1-AUDIT,$,c9e3e408134d8c434f57da89797dfda17947886b4646097d21b15cf43110cfc2
RPT-T05.row.17,table_row,SEC-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD2-TRAIN-TEST,ART-P8-FOLD2-AUDIT,$,0d99ecd4347e2f2d3de1bca6f47302d29c5eedd83b8daeb50b6fc3526a9aa88d
RPT-T05.row.18,table_row,SEC-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD3-TRAIN-TEST,ART-P8-FOLD3-AUDIT,$,c47a86e691616971fff1710d1222e1a150e06857023ad042ce39d96ddac7f2ae
