Model,Fold,Target,Requested,Valid,Undefined,Undefined rate,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Learned-softmax GAM,2,texture,539,472,67,0.124,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD2-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[2].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,calcification,549,198,351,0.639,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,internalStructure,549,476,73,0.133,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,lobulation,549,426,123,0.224,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,malignancy,549,426,123,0.224,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,margin,549,549,0,0.000,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,sphericity,549,549,0,0.000,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,spiculation,549,410,139,0.253,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,subtlety,549,509,40,0.073,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,3,texture,549,521,28,0.051,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD3-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[3].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,calcification,564,435,129,0.229,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,internalStructure,564,511,53,0.094,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,lobulation,564,485,79,0.140,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,malignancy,564,486,78,0.138,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,margin,564,562,2,0.004,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,4,sphericity,564,564,0,0.000,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD4-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[4].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
