Model,Target,Quantity,Saliency mean,Saliency median,Saliency−random mean,Saliency > random rate,Valid maps,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Mixed-type CEM,internalStructure,error_increase,-0.003,-0.004,-0.229,0.283,1747,RES-P9-FAITHFULNESS-MIXED_CEM-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,lobulation,output_sensitivity,0.086,0.055,-0.408,0.039,2486,RES-P9-FAITHFULNESS-MIXED_CEM-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,lobulation,error_increase,-0.085,-0.055,0.351,0.864,2486,RES-P9-FAITHFULNESS-MIXED_CEM-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,malignancy,output_sensitivity,0.026,0.020,-0.318,0.007,1267,RES-P9-FAITHFULNESS-MIXED_CEM-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,malignancy,error_increase,0.005,0.003,-0.247,0.154,1267,RES-P9-FAITHFULNESS-MIXED_CEM-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,margin,output_sensitivity,0.046,0.018,-0.336,0.075,2626,RES-P9-FAITHFULNESS-MIXED_CEM-MARGIN,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,margin,error_increase,-0.006,0.002,-0.278,0.378,2626,RES-P9-FAITHFULNESS-MIXED_CEM-MARGIN,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,,output_sensitivity,0.057,0.026,-0.373,0.058,20316,RES-P9-FAITHFULNESS-MIXED_CEM-POOLED,ART-P9-SPATIAL,models.mixed_cem.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,,error_increase,-0.028,-0.006,-0.037,0.487,20316,RES-P9-FAITHFULNESS-MIXED_CEM-POOLED,ART-P9-SPATIAL,models.mixed_cem.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,sphericity,output_sensitivity,0.028,0.015,-0.197,0.050,2446,RES-P9-FAITHFULNESS-MIXED_CEM-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,sphericity,error_increase,-0.005,-0.002,-0.062,0.412,2446,RES-P9-FAITHFULNESS-MIXED_CEM-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,spiculation,output_sensitivity,0.083,0.049,-0.439,0.039,2633,RES-P9-FAITHFULNESS-MIXED_CEM-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,spiculation,error_increase,-0.080,-0.049,0.337,0.871,2633,RES-P9-FAITHFULNESS-MIXED_CEM-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,subtlety,output_sensitivity,0.042,0.029,-0.504,0.031,2595,RES-P9-FAITHFULNESS-MIXED_CEM-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,subtlety,error_increase,-0.004,-0.001,-0.323,0.290,2595,RES-P9-FAITHFULNESS-MIXED_CEM-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,texture,output_sensitivity,0.035,0.019,-0.235,0.069,2600,RES-P9-FAITHFULNESS-MIXED_CEM-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.pooled_targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
