model,scope,fold,target,quantity,sample_count,saliency_mean,saliency_sd,saliency_median,saliency_minus_random_mean,saliency_greater_than_random_rate
Standard CBM,pooled_target,,malignancy,output_sensitivity,2398,0.018316560431855037,0.019947751427795413,0.012075632810592651,-0.2178164869779915,0.0050041701417848205
Standard CBM,pooled_target,,malignancy,error_increase,2398,0.0028206679026534375,0.025217357436989954,0.0007414370775222778,-0.13998371891714662,0.2268557130942452
Standard CBM,pooled_target,,margin,output_sensitivity,2623,0.17677769056488335,0.17320473122522942,0.12598073482513428,-1.0239943905154323,0.025543271063667557
Standard CBM,pooled_target,,margin,error_increase,2623,-0.08463468127866809,0.21996095860451742,-0.051030755043029785,-0.3202064394264436,0.34731223789553944
Standard CBM,pooled_target,,sphericity,output_sensitivity,2631,0.11421964131437273,0.11972465101425532,0.07277750968933105,-0.5059279749076495,0.05283162295705055
Standard CBM,pooled_target,,sphericity,error_increase,2631,-0.06848545827398196,0.14123336984893936,-0.023468539118766785,-0.13261253245738422,0.38008361839604715
Standard CBM,pooled_target,,spiculation,output_sensitivity,2576,0.20704273602463194,0.20408645517364948,0.13696134090423584,-1.9303530060471308,0.0015527950310559005
Standard CBM,pooled_target,,spiculation,error_increase,2576,-0.19698200196404478,0.21359756248606473,-0.13238465785980225,1.4934048423863961,0.9666149068322981
Standard CBM,pooled_target,,subtlety,output_sensitivity,2576,0.12911453054204108,0.15275925438520618,0.07694768905639648,-1.6658192081975616,0.01203416149068323
Standard CBM,pooled_target,,subtlety,error_increase,2576,0.018729096911360717,0.17131365076225766,0.001070559024810791,-1.400171656101218,0.1486801242236025
Standard CBM,pooled_target,,texture,output_sensitivity,2620,0.1982700842823691,0.20911977163777037,0.1314181685447693,-0.9389515783792834,0.09312977099236641
Standard CBM,pooled_target,,texture,error_increase,2620,-0.07690803172450712,0.26502514351351536,-0.04928851127624512,-0.515174382240473,0.366412213740458
Standard CBM,pooled_model,,ALL,output_sensitivity,22413,0.14943417597506642,0.1774046716958426,0.0856165885925293,-1.0641649665489012,0.037210547450140546
Standard CBM,pooled_model,,ALL,error_increase,22413,-0.06983991996276497,0.2141792168942908,-0.02446126937866211,0.13299352211528692,0.5446838888145272
Mixed-type CEM,fold_target,0,calcification,output_sensitivity,356,0.09342726700928773,0.11761920401847581,0.05323994159698486,-1.02530187025007,0.0056179775280898875
Mixed-type CEM,fold_target,0,calcification,error_increase,356,-0.007184683858008867,0.1500377009042229,0.017987608909606934,0.1904633994784541,0.7078651685393258
Mixed-type CEM,fold_target,0,internalStructure,output_sensitivity,170,0.0817669202299679,0.0907099856719542,0.04813188314437866,-0.3708723795413971,0.11176470588235295
Mixed-type CEM,fold_target,0,internalStructure,error_increase,170,-0.0732034255476559,0.09775167125215235,-0.0456080436706543,-0.19479732232935287,0.5352941176470588
Mixed-type CEM,fold_target,0,lobulation,output_sensitivity,478,0.07446912697917747,0.07987517402626784,0.05843120813369751,-0.5809986941376116,0.02510460251046025
Mixed-type CEM,fold_target,0,lobulation,error_increase,478,-0.07365682041545293,0.08062485413973253,-0.05843120813369751,0.5587288593164174,0.9309623430962343
Mixed-type CEM,fold_target,0,malignancy,output_sensitivity,102,0.015160385062735454,0.0168231167692637,0.008797496557235718,-0.19231809544943132,0.0392156862745098
Mixed-type CEM,fold_target,0,malignancy,error_increase,102,-0.0013825211345272906,0.021813235597469262,-0.001720275729894638,-0.10154194927780455,0.3431372549019608
Mixed-type CEM,fold_target,0,margin,output_sensitivity,479,0.13424495406378847,0.12500405317590296,0.10350492596626282,-0.850945351816741,0.12526096033402923
Mixed-type CEM,fold_target,0,margin,error_increase,479,-0.05220850542117696,0.1551212865595093,-0.026797771453857422,-0.9291127988321042,0.21920668058455114
Mixed-type CEM,fold_target,0,sphericity,output_sensitivity,479,0.03972896672240876,0.04275743818982467,0.026051878929138184,-0.4115360079780377,0.029227557411273485
Mixed-type CEM,fold_target,0,sphericity,error_increase,479,-0.0015109290492642475,0.051176391496573784,0.0,-0.24987200490440772,0.25260960334029225
Mixed-type CEM,fold_target,0,spiculation,output_sensitivity,479,0.09705400865112815,0.08059657619669457,0.08049666881561279,-0.534900394405602,0.0709812108559499
Mixed-type CEM,fold_target,0,spiculation,error_increase,479,-0.09430742014922777,0.08379378971427344,-0.07971954345703125,0.17102334736408917,0.7244258872651357
Mixed-type CEM,fold_target,0,subtlety,output_sensitivity,456,0.023168475906315603,0.02564401262196938,0.016284018754959106,-0.39379619046588216,0.008771929824561403
Mixed-type CEM,fold_target,0,subtlety,error_increase,456,-0.004480155032367734,0.03334876608641011,-0.0015870332717895508,-0.20890302829204768,0.40131578947368424
Mixed-type CEM,fold_target,0,texture,output_sensitivity,475,0.018903069496154785,0.02026937751988031,0.013575077056884766,-0.2823518699219353,0.05473684210526316
Mixed-type CEM,fold_target,0,texture,error_increase,475,0.006716012954711914,0.0241962763229878,0.005673408508300781,-0.15914575180672763,0.4189473684210526
Mixed-type CEM,fold_target,1,calcification,output_sensitivity,202,0.033698739170437995,0.04607254653537534,0.015195012092590332,-0.10374867904857538,0.11386138613861387
Mixed-type CEM,fold_target,1,calcification,error_increase,202,0.005647860910042678,0.05680128724837448,0.0018067508935928345,-0.03469531469526562,0.43564356435643564
Mixed-type CEM,fold_target,1,internalStructure,output_sensitivity,499,0.011110864684194744,0.010819509300209116,0.008144676685333252,-0.05145233495679791,0.09819639278557114
Mixed-type CEM,fold_target,1,internalStructure,error_increase,499,0.0026847137239031896,0.015274338209836896,0.0005216598510742188,0.008720452632598266,0.4168336673346693
Mixed-type CEM,fold_target,1,lobulation,output_sensitivity,502,0.0526173209764093,0.04730156851420501,0.0424039363861084,-0.2788388961043016,0.04780876494023904
Mixed-type CEM,fold_target,1,lobulation,error_increase,502,-0.05143599609929727,0.04858352761905613,-0.0424039363861084,0.2469734152890297,0.8705179282868526
Mixed-type CEM,fold_target,1,malignancy,output_sensitivity,318,0.03056985449116185,0.021720649355897594,0.02646179497241974,-0.41760801946592035,0.0
Mixed-type CEM,fold_target,1,malignancy,error_increase,318,0.007872969693107926,0.03495674780042283,0.00660744309425354,-0.3551153575411882,0.07547169811320754
Mixed-type CEM,fold_target,1,margin,output_sensitivity,501,0.00858056087217883,0.006932004118745119,0.007614403963088989,-0.14053315204715064,0.0
Mixed-type CEM,fold_target,1,margin,error_increase,501,0.0020922122006406803,0.010827108342323982,0.002868175506591797,0.12400971742586063,0.8782435129740519
Mixed-type CEM,fold_target,1,sphericity,output_sensitivity,497,0.01034364851577661,0.010699337438943357,0.007741264998912811,-0.09010941573161954,0.03621730382293763
